"","","","","Overall Record: 20-12   Conf: 11-9   Home: 14-2   Away: 4-7   Neutral: 2-3","","","","","","","","","","","","","","","","","",""
"","","","","","FG","","3PT","","FT","","","","Rebounds","","","","","","","","",""
"#","Player","GP-GS","MIN","AVG","FG-FGA","FG%","3FG-FGA","3FG%","FT-FTA","FT%","OFF","DEF","TOT","AVG","PF","DQ","A","TO","BLK","STL","PTS","AVG"
"03","Mintz, Judah","32-31","1087","34.0","188-429",".438","24-85",".282","202-264",".765","15","88","103","3.2","70","2","142","94","4","67","602","18.8"
"02","Starling, J.J.","32-32","1102","34.4","171-373",".458","44-136",".324","40-56",".714","20","83","103","3.2","42","0","60","55","6","27","426","13.3"
"04","Bell, Chris","32-32","867","27.1","134-309",".434","84-200",".420","32-38",".842","6","69","75","2.3","58","1","21","26","22","18","384","12.0"
"24","Copeland, Quadir","32-1","715","22.3","107-224",".478","11-44",".250","82-120",".683","40","108","148","4.6","75","3","89","64","6","47","307","9.6"
"01","Brown, Maliq","32-18","946","29.6","127-182",".698","7-18",".389","44-61",".721","75","155","230","7.2","97","2","59","41","29","71","305","9.5"
"13","Williams, Benny","18-0","307","17.1","38-95",".400","7-34",".206","14-26",".538","16","55","71","3.9","34","0","22","21","16","17","97","5.4"
"05","Taylor, Justin","32-32","742","23.2","57-162",".352","25-83",".301","20-31",".645","12","115","127","4.0","38","0","31","27","8","23","159","5.0"
"10","McLeod, Naheem","14-14","202","14.4","19-32",".594","0-0",".000","16-23",".696","30","30","60","4.3","11","0","1","6","27","3","54","3.9"
"00","Cuffe Jr., Kyle","29-0","309","10.7","35-86",".407","16-47",".340","6-13",".462","10","20","30","1.0","43","1","15","16","6","14","92","3.2"
"14","Ruffin, Niko","2-0","4","2.0","1-2",".500","1-2",".500","0-0",".000","0","1","1","0.5","0","0","0","0","0","0","3","1.5"
"23","Carey, Peter","14-0","71","5.1","4-14",".286","0-0",".000","1-2",".500","3","9","12","0.9","18","0","1","0","2","3","9","0.6"
"55","Hima, Mounir","13-0","44","3.4","2-3",".667","0-0",".000","0-0",".000","2","4","6","0.5","7","0","1","1","3","0","4","0.3"
"12","Clayton, Anthony","2-0","4","2.0","0-4",".000","0-1",".000","0-0",".000","0","0","0","0.0","0","0","0","0","0","0","0","0.0"
"Total","","32","6400","200.0","883-1915",".461","219-650",".337","457-634",".721","277","787","1064","33.3","493","9","442","364","129","290","2442","76.31"
"Opponents","","32","6400","200.0","899-1964",".458","250-732",".342","372-511",".728","360","843","1203","37.6","512","9","456","463","93","200","2420","75.63"
